feature,importance
hv_total_visits,0.16227456585475614
pr_sessions_total,0.11115122942278893
pr_concern_rate,0.08295223355416158
pr_mean_duration,0.06731690054092998
edu_progress_trend,0.06704633137247258
hv_favorable_rate,0.04983850006319567
age_at_admission_years,0.04895214654009782
hv_family_cooperation_rate,0.04579441597020516
days_since_enrollment,0.04322917998965981
case_category,0.03910298512203832
inc_mean_severity,0.03882776274163034
pr_sessions_last_30d,0.036888368159796764
edu_mean_progress,0.03374406900474893
pr_mean_gap_days,0.025162726717612945
hw_health_trend,0.019548937391046784
edu_mean_attendance,0.01883889692949395
pr_progress_rate,0.018669563876659547
hw_mean_general_health,0.01856811493376807
pr_emotional_improvement_trend,0.018561779519539245
inc_total,0.01671281851964815
ip_overdue_count,0.010702851238724928
ip_achieved_rate,0.010346720361521988
initial_risk_ord,0.00915022817358799
inc_last_30d,0.006618674001914503
ip_total_plans,0.0
