feature,logistic_coef,odds_ratio,abs_coef
cat__case_category_Surrendered,1.184584431698454,3.269327910078472,1.184584431698454
num__sub_cat_trafficked,1.0076745874484616,2.7392237776827155,1.0076745874484616
num__pr_concern_rate,-0.9976411761781936,0.36874822821578734,0.9976411761781936
cat__case_category_Neglected,-0.8279999674194347,0.4369222718096155,0.8279999674194347
num__sub_cat_child_labor,0.6933200852269,2.0003458392316564,0.6933200852269
num__ip_achieved_rate,-0.6389921658668192,0.5278241152294252,0.6389921658668192
num__days_in_program_at_window_end,0.621920097823173,1.862500794452516,0.621920097823173
cat__region_Luzon,0.6028077495290646,1.8272420426189442,0.6028077495290646
num__sub_cat_orphaned,-0.5691814265465994,0.5659885523312821,0.5691814265465994
num__pr_gap_mean_days,-0.5671317151524388,0.5671498552773169,0.5671317151524388
cat__initial_case_assessment_For Foster Care,0.5579566915404945,1.7470989885031776,0.5579566915404945
num__ip_on_hold_rate,0.5222535959569669,1.6858225348726081,0.5222535959569669
num__sub_cat_osaec,0.41878186356302977,1.520108727519887,0.41878186356302977
cat__region_Visayas,-0.3923331439036464,0.6754790447466912,0.3923331439036464
num__hv_favorable_rate,-0.3485116778950675,0.7057376734453105,0.3485116778950675
num__sub_cat_physical_abuse,0.34155373266553857,1.4071322002386428,0.34155373266553857
num__inc_count_prior,0.33001013585891503,1.390982227191937,0.33001013585891503
num__pr_sessions_prior,-0.2939266736225026,0.7453311418722747,0.2939266736225026
cat__initial_case_assessment_For Adoption,-0.2826081066653437,0.7538151451126004,0.2826081066653437
num__pr_referral_rate,0.2734580562339235,1.3145022228820102,0.2734580562339235
cat__initial_case_assessment_For Reunification,-0.25172594935535925,0.7774577716801235,0.25172594935535925
cat__case_category_Foundling,-0.2502850443012092,0.7785788219822878,0.2502850443012092
num__initial_risk_ord,-0.23876420028502532,0.7876005764699654,0.23876420028502532
num__sub_cat_sexual_abuse,0.22366490268810457,1.250651859126429,0.22366490268810457
cat__region_Mindanao,-0.20932605121285228,0.8111307223675079,0.20932605121285228
num__sub_cat_at_risk,0.2056982397891629,1.228382471108438,0.2056982397891629
num__sub_cat_cicl,-0.1898513593679132,0.8270820628076273,0.1898513593679132
num__inc_mean_severity,0.17554473816821525,1.1918953106713923,0.17554473816821525
cat__initial_case_assessment_For Continued Care,-0.15576822409070706,0.8557575113624469,0.15576822409070706
num__stay_years_approx,0.1434400579559176,1.1542376213710686,0.1434400579559176
num__sub_cat_street_child,0.1422416245384642,1.152855172985568,0.1422416245384642
cat__initial_case_assessment_For Independent Living,0.1332941429834814,1.1425860325719193,0.1332941429834814
num__hv_visits_prior,0.11106999140238438,1.117473117628015,0.11106999140238438
cat__case_category_Abandoned,-0.10515086556524435,0.9001887048636287,0.10515086556524435
num__pr_days_since_last,0.09970926816891805,1.1048496564137356,0.09970926816891805
num__pr_mean_duration,-0.08504271171612257,0.9184730540033157,0.08504271171612257
num__age_at_admission_years,-0.06251878277898437,0.9393954181912499,0.06251878277898437
num__edu_mean_progress,-0.04400413642089358,0.9569499991168895,0.04400413642089358
num__hw_rows_prior,-0.044004136420893576,0.9569499991168895,0.044004136420893576
num__edu_rows_prior,-0.044004136420893576,0.9569499991168895,0.044004136420893576
num__edu_mean_attendance,-0.04400413642089357,0.9569499991168895,0.04400413642089357
num__hw_mean_energy,-0.044004136420893555,0.9569499991168895,0.044004136420893555
num__hw_mean_general,-0.04400413642089354,0.9569499991168896,0.04400413642089354
num__sub_cat_child_with_hiv,-0.04252544587553861,0.9583660787467166,0.04252544587553861
num__pr_mean_emotional_delta,0.03184227606137166,1.0323546654196907,0.03184227606137166
num__pr_progress_rate,-0.015257376669136525,0.9848584273987838,0.015257376669136525
num__hv_uncooperative_rate,0.0018502523273581028,1.0018519651003868,0.0018502523273581028
num__ip_plans_prior,0.0,1.0,0.0
